feature,delta_mean_p1,abs_effect,direction,target
" Alcohol (0: no; 1: yes, 2: ex) 0.0",-0.005158456074648793,0.005158456074648793,-,Pharyngo-/oro-cutaneous fistula
 Smoking (0: no; 1: yes; 2: ex) 2.0,-0.00513504560544617,0.00513504560544617,-,Pharyngo-/oro-cutaneous fistula
 Significant weight loss? (0: no; 1: yes) 0.0,0.005126651393107445,0.005126651393107445,+,Pharyngo-/oro-cutaneous fistula
 Site ID 9,-0.0046810269504958535,0.0046810269504958535,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 14.0,0.004584968735675737,0.004584968735675737,+,Pharyngo-/oro-cutaneous fistula
" Type of surgery (1=clean, 2=clean-contaminated) 1.0",-0.004161535953511569,0.004161535953511569,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 1.0,-0.004118526286967322,0.004118526286967322,-,Pharyngo-/oro-cutaneous fistula
 Sex (0: male; 1: female),-0.004032934672521776,0.004032934672521776,-,Pharyngo-/oro-cutaneous fistula
 0: normal weight; 1: underweight; 2: overweight 0.0,0.004002571188337134,0.004002571188337134,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 18.0,-0.0036378084713319103,0.0036378084713319103,-,Pharyngo-/oro-cutaneous fistula
 Site ID 8,-0.0034193082036044486,0.0034193082036044486,-,Pharyngo-/oro-cutaneous fistula
 Smoking (0: no; 1: yes; 2: ex) 0.0,-0.0029288747328821696,0.0029288747328821696,-,Pharyngo-/oro-cutaneous fistula
" Alcohol (0: no; 1: yes, 2: ex) 1.0",0.0012932420494100316,0.0012932420494100316,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 15.0,-0.0012440488476092304,0.0012440488476092304,-,Pharyngo-/oro-cutaneous fistula
 Site ID 7,-0.0012107667430414637,0.0012107667430414637,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 11.0,-0.0010165752924850835,0.0010165752924850835,-,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 4.0,0.0009792570688748892,0.0009792570688748892,+,Pharyngo-/oro-cutaneous fistula
 0: normal weight; 1: underweight; 2: overweight 2.0,0.0002910435954896762,0.0002910435954896762,+,Pharyngo-/oro-cutaneous fistula
 Type of surgical procedure 12.0,-0.00026214177978889364,0.00026214177978889364,-,Pharyngo-/oro-cutaneous fistula
 Bronchial asthma,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Vascular comorbidities,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Hypothyroidism,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 CRI,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 COPD,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Previous corticosteroid therapy,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Cirrhosis,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Allergies,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Previous immunosuppressive therapy,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 15,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Previous transplant,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Diabetes,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Post-op PACU or ICU,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 16,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Previous chemotherapy,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Free flap,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Pedicled flap,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Prophylactic antibiotic therapy,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Antibiotic therapy during surgery,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 2,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 12,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 13,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 14,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
 Site ID 10,0.0,0.0,-,Pharyngo-/oro-cutaneous fistula
